author:hh, total:    7
author:me, total:    7
author:gu, total:    7
author:Na, total:    7
author:da, total:    7
author:tp, total:    7
author:jd, total:    7
author:fa, total:    7
author:uk, total:    7
author:10, total:    7
author:yk, total:    7
author:jj, total:    6
author:la, total:    6
author:pi, total:    6
author:By, total:    6
author:do, total:    6
author:dr, total:    6
author:sa, total:    6
author:hm, total:    6
author:da, total:    6
author:sw, total:    6
author:dl, total:    6
author:sv, total:    6
author:su, total:    6
author:jo, total:    6
author:jo, total:    6
author:bj, total:    6
author:su, total:    6
author:pi, total:    6
author:fm, total:    6
author:kw, total:    6
author:ti, total:    6
author:in, total:    6
author:kr, total:    6
author:st, total:    6
author:bo, total:    6
author:cr, total:    6
author:bo, total:    6
author:wi, total:    6
author:on, total:    6
author:do, total:    6
author:wi, total:    6
author:ca, total:    6
author:sf, total:    6
author:st, total:    6
author:bl, total:    6
author:mi, total:    6
author:cl, total:    6
author:le, total:    6
author:he, total:    6
author:lo, total:    6
author:ss, total:    6
author:ta, total:    6
author:ce, total:    6
author:lo, total:    6
author:ty, total:    6
author:ss, total:    6
author:do, total:    6
author:ch, total:    6
author:so, total:    6
author:tp, total:    6
author:ho, total:    6
author:mt, total:    6
author:hy, total:    6
author:os, total:    6
author:ev, total:    6
author:ba, total:    6
author:se, total:    6
author:ky, total:    6
author:ki, total:    6
author:se, total:    6
author:ad, total:    6
author:nd, total:    6
author:ku, total:    6
author:fa, total:    6
author:pi, total:    6
author:to, total:    6
author:wu, total:    6
author:fa, total:    6
author:pr, total:    6
author:th, total:    6
author:po, total:    6
author:fi, total:    6
author:sh, total:    6
author:al, total:    6
author:us, total:    6
author:bl, total:    6
author:su, total:    6
author:ja, total:    6
author:gg, total:    6
author:ju, total:    6
author:ni, total:    6
author:hc, total:    6
author:ri, total:    6
author:ba, total:    6
author:ji, total:    6
author:le, total:    6
author:me, total:    6
author:jp, total:    6
author:dw, total:    6
author:in, total:    6
author:pr, total:    6
author:li, total:    6
author:ne, total:    6
author:di, total:    6
author:le, total:    6
author:bl, total:    6
author:ww, total:    6
author:kk, total:    6
author:k4, total:    6
author:ra, total:    6
author:iz, total:    6
author:ym, total:    6
author:in, total:    6
author:pj, total:    6
author:fl, total:    6
author:cj, total:    6
author:h7, total:    6
author:ki, total:    6
author:Ho, total:    6
author:ak, total:    6
author:re, total:    6
author:ra, total:    6
author:sk, total:    6
author:jw, total:    6
author:oo, total:    6
author:hi, total:    6
author:sc, total:    6
author:wo, total:    6
author:at, total:    6
author:gg, total:    6
author:ha, total:    6
author:pa, total:    6
author:no, total:    6
author:sj, total:    6
author:nx, total:    6
author:me, total:    6
author:rl, total:    6
author:yk, total:    6
